# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1.19962e-05   	1.000000e+00	1.000000e+00	1.000000e+00
2.54886e-05   	6.185583e-03	9.236395e-01	1.760093e-01
4.05063e-05   	4.080276e-03	6.890854e-01	8.706566e-02
5.62935e-05   	1.250200e-01	2.337998e-03	1.003108e-03
7.25118e-05   	1.210103e-01	1.059883e-03	8.574944e-04
8.9108e-05    	9.464945e-02	8.593945e-04	8.318448e-04
0.000106043   	7.773170e-02	7.802208e-04	8.215865e-04
0.000123294   	6.797777e-02	7.271117e-04	8.181306e-04
0.000140838   	6.221180e-02	6.934818e-04	8.183861e-04
0.000158671   	5.879010e-02	6.759978e-04	8.222263e-04
0.00017679    	6.096929e-02	6.607030e-04	8.266929e-04
0.000195096   	5.784991e-02	6.418870e-04	8.294868e-04
0.000213375   	6.086980e-02	6.194900e-04	8.230493e-04
0.000231641   	5.533665e-02	6.001967e-04	8.191422e-04
0.000249893   	5.252606e-02	5.824501e-04	8.158906e-04
0.000268146   	5.171100e-02	5.708996e-04	8.168450e-04
0.000286398   	4.582290e-02	5.618932e-04	8.196764e-04
0.000304664   	4.240488e-02	5.544835e-04	8.220381e-04
0.000322943   	4.196628e-02	5.473526e-04	8.278094e-04
0.000341236   	3.867151e-02	5.395247e-04	8.372367e-04
0.000359556   	4.145461e-02	5.346838e-04	8.452851e-04
0.000377903   	6.194751e-02	5.306733e-04	8.496833e-04
0.000396278   	5.081480e-02	5.228034e-04	8.471564e-04
0.000414694   	6.256262e-02	5.257206e-04	8.739320e-04
0.000433151   	3.938294e-02	5.196306e-04	8.799882e-04
0.00045165    	3.442361e-02	5.133926e-04	8.828462e-04
0.000470205   	3.422257e-02	5.126525e-04	8.963959e-04
0.000488817   	2.901776e-02	5.104470e-04	9.071622e-04
0.000507499   	3.843896e-02	5.080142e-04	9.145329e-04
0.000526253   	3.856807e-02	5.027479e-04	9.145928e-04
0.000545093   	2.937989e-02	4.979943e-04	9.155482e-04
0.000564021   	3.218953e-02	4.959490e-04	9.235491e-04
0.000583038   	2.849622e-02	4.952843e-04	9.307126e-04
0.000602158   	3.033619e-02	4.954244e-04	9.398909e-04
0.000621384   	2.830686e-02	4.955805e-04	9.503107e-04
0.000640717   	2.873127e-02	4.967066e-04	9.592785e-04
0.000660158   	3.514840e-02	4.983923e-04	9.693830e-04
0.000679724   	2.656633e-02	4.970691e-04	9.712676e-04
0.000699416   	2.781453e-02	4.990436e-04	9.799864e-04
0.000719237   	2.678857e-02	5.013720e-04	9.890905e-04
0.000739188   	2.933288e-02	5.031659e-04	1.001872e-03
0.000759289   	2.947784e-02	5.053679e-04	1.016913e-03
0.00077954    	3.173631e-02	5.086380e-04	1.028661e-03
0.000799962   	2.991729e-02	5.135054e-04	1.041215e-03
0.000820558   	3.527375e-02	5.188379e-04	1.056519e-03
0.000841241   	2.629331e-02	5.169248e-04	1.058213e-03
0.00086189    	2.621043e-02	5.150187e-04	1.061080e-03
0.000882503   	2.488168e-02	5.128586e-04	1.063806e-03
0.000903081   	2.432375e-02	5.106051e-04	1.066431e-03
0.000923642   	2.554037e-02	5.085658e-04	1.069431e-03
0.000944185   	2.355105e-02	5.058574e-04	1.075666e-03
0.00096471    	2.340208e-02	5.034401e-04	1.080131e-03
0.000985218   	2.392475e-02	5.009840e-04	1.085237e-03
0.00100573    	2.424330e-02	4.991813e-04	1.090410e-03
0.00102625    	3.155186e-02	4.974694e-04	1.095283e-03
0.00104678    	2.887956e-02	4.913548e-04	1.091494e-03
0.00106734    	2.653840e-02	4.951190e-04	1.106498e-03
0.00108792    	2.462936e-02	4.971634e-04	1.117495e-03
0.00110853    	2.525101e-02	4.981121e-04	1.125273e-03
0.00112918    	2.526886e-02	4.991665e-04	1.131485e-03
0.00114988    	3.162166e-02	4.980715e-04	1.131153e-03
